Snapshot;ArrayBuffer Size (MB);Total Heap Memory (MB);Heap without ArrayBuffer Size (MB);ArrayBuffer % of Total
Snapshot 1;17,05;22,5;5,45;75,78%
Snapshot 2;17,05;22,9;5,85;74,45%
Snapshot 3;17,05;23,3;6,25;73,18%
Snapshot 4;17,05;23,9;6,85;71,34%
Snapshot 5;17,05;24,2;7,15;70,45%
