Snapshot;ArrayBuffer Size (MB);Total Heap Memory (MB);Heap without ArrayBuffer Size (MB);ArrayBuffer % of Total
Snapshot 1;17,44;22,2;4,76;78,56%
Snapshot 2;17,44;22,2;4,76;78,56%
Snapshot 3;17,44;22,5;5,06;77,51%
Snapshot 4;17,44;22,6;5,16;77,17%
Snapshot 5;17,44;22,7;5,26;76,83%
