Snapshot;ArrayBuffer Size (MB);Total Heap Memory (MB);Heap without ArrayBuffer Size (MB);ArrayBuffer % of Total
Snapshot 1;17,57;22,3;4,73;78,79%
Snapshot 2;17,57;22,4;4,83;78,44%
Snapshot 3;17,57;22,4;4,83;78,44%
Snapshot 4;17,57;22,7;5,13;77,40%
Snapshot 5;17,57;22,7;5,13;77,40%
