fps
74
72
75
80
79
83
84
81
82
84
83
82
84
83
82
84
82
84
84
84
78
76
78
78
74
81
80
83
84
80
83
82
83
84
83
82
83
84
84
83
84
83
81
82
84
82
83
84
83
84
81
83
82
83
84
83
84
84
84
82
81
83
82
84
84
82
81
83
84
84
83
81
78
79
84
84
81
82
83
84
82
80
83
84
82
82
84
81
75
77
79
81
82
84
83
81
79
81
83
84
84
82
83
83
81
80
82
83
84
82
80
84
84
83
83
84
81
82
84
84
79
78
77
80
84
83
84
83
83
84
83
83
83
82
84
84
82
82
83
84
84
84
83
84
84
82
84
83
82
83
84
81
82
84
78
81
82
84
84
83
82
80
79
84
82
83
82
82
84
81
82
82
80
80
80
84
81
81
83
84
82
83
83
83
83
84
84
82
83
84
84
83
82
84
83
81
81
81
81
84
84
83
82
82
84
84
81
82
83
84
83
79
80
78
78
83
84
78
74
75
83
83
80
79
82
84
83
79
80
76
80
82
84
81
81
82
81
82
83
81
81
82
82
81
84
83
82
82
83
84
83
82
83
83
81
78
75
83
83
77
80
79
82
84
84
82
79
78
76
76
81
84
83
80
82
80
81
83
84
82
80
79
81
84
83
83
83
82
83
82
84
84
84
84
82
81
80
82
