Snapshot;ArrayBuffer Size (MB);Total Heap Memory (MB);Heap without ArrayBuffer Size (MB);ArrayBuffer % of Total
Snapshot 1;1,33;6,8;5,47;19,56%
Snapshot 2;1,33;7,2;5,87;18,47%
Snapshot 3;1,33;7,6;6,27;17,50%
Snapshot 4;1,33;8,2;6,87;16,22%
Snapshot 5;1,33;8,6;7,27;15,47%
