Snapshot;ArrayBuffer Size (MB);Total Heap Memory (MB);Heap without ArrayBuffer Size (MB);ArrayBuffer % of Total
Snapshot 1;1,91;11,9;9,99;16,05%
Snapshot 2;1,91;12,2;10,29;15,66%
Snapshot 3;1,91;12,5;10,59;15,28%
Snapshot 4;1,91;12,9;10,99;14,81%
Snapshot 5;1,91;13,2;11,29;14,47%
