Snapshot;ArrayBuffer Size (MB);Total Heap Memory (MB);Heap without ArrayBuffer Size (MB);ArrayBuffer % of Total
Snapshot 1;17,31;27;9,69;64,11%
Snapshot 2;17,31;27,1;9,79;63,87%
Snapshot 3;17,31;27,2;9,89;63,64%
Snapshot 4;17,31;27,2;9,89;63,64%
Snapshot 5;17,31;27,3;9,99;63,41%
