Snapshot;ArrayBuffer Size (MB);Total Heap Memory (MB);Heap without ArrayBuffer Size (MB);ArrayBuffer % of Total
Snapshot 1;17,31;22,3;4,99;77,62%
Snapshot 2;17,31;22,4;5,09;77,28%
Snapshot 3;17,31;22,5;5,19;76,93%
Snapshot 4;17,31;22,6;5,29;76,59%
Snapshot 5;17,31;22;4,69;78,68%
