Snapshot;ArrayBuffer Size (MB);Total Heap Memory (MB);Heap without ArrayBuffer Size (MB);ArrayBuffer % of Total
Snapshot 1;17,44;27,6;10,16;63,19%
Snapshot 2;17,44;28,1;10,66;62,06%
Snapshot 3;17,44;28,6;11,16;60,98%
Snapshot 4;17,44;29,1;11,66;59,93%
Snapshot 5;17,44;29,6;12,16;58,92%
