Snapshot;ArrayBuffer Size (MB);Total Heap Memory (MB);Heap without ArrayBuffer Size (MB);ArrayBuffer % of Total
Snapshot 1;17,18;22,4;5,22;76,70%
Snapshot 2;17,18;22,6;5,42;76,02%
Snapshot 3;17,18;22,7;5,52;75,68%
Snapshot 4;17,18;23;5,82;74,70%
Snapshot 5;17,18;23,3;6,12;73,73%
