Snapshot;ArrayBuffer Size (MB);Total Heap Memory (MB);Heap without ArrayBuffer Size (MB);ArrayBuffer % of Total
Snapshot 1;1,52;11,2;9,68;13,57%
Snapshot 2;1,52;11,3;9,78;13,45%
Snapshot 3;1,52;11,5;9,98;13,22%
Snapshot 4;1,52;11,7;10,18;12,99%
Snapshot 5;1,52;11,6;10,08;13,10%
